
@RELATION vnf

@ATTRIBUTE dofM REAL
@ATTRIBUTE dofW REAL
@ATTRIBUTE weekend REAL
@ATTRIBUTE hofD REAL
@ATTRIBUTE mofH REAL
@ATTRIBUTE time REAL
@ATTRIBUTE traffic0 REAL
@ATTRIBUTE traffic1 REAL
@ATTRIBUTE delta1 	REAL
@ATTRIBUTE traffic2 REAL
@ATTRIBUTE delta2 	REAL
@ATTRIBUTE traffic3 REAL
@ATTRIBUTE delta3 	REAL
@ATTRIBUTE traffic4 REAL
@ATTRIBUTE delta4 	REAL
@ATTRIBUTE class 	{1,2,3,4,5,6,7,8,9,10}

@DATA
7,6,0,9,5,9,6.413343245,6.593321117,0.17997787200000026,6.402829429,-0.19049168800000071,6.448640206,0.04581077700000069,6.758012799,0.309372593,7
7,6,0,9,15,10,6.593321117,6.402829429,-0.19049168800000071,6.758012799,0.35518337000000066,6.897537181,0.1395243819999994,6.625683956,-0.2718532250000001,7
7,6,0,9,25,11,6.402829429,6.758012799,0.35518337000000066,6.625683956,-0.1323288430000007,6.786593033,0.16090907700000034,6.741090851,-0.04550218199999989,7
7,6,0,9,35,12,6.758012799,6.625683956,-0.1323288430000007,6.741090851,0.11540689500000045,6.857892154,0.11680130299999991,6.885633911,0.027741757000000256,8
7,6,0,9,45,13,6.625683956,6.741090851,0.11540689500000045,6.885633911,0.14454306000000017,7.036186201,0.15055228999999937,7.182820092,0.14663389100000046,8
7,6,0,9,55,14,6.741090851,6.885633911,0.14454306000000017,7.182820092,0.2971861809999998,6.897783063,-0.2850370289999997,6.802926206,-0.0948568569999999,7
7,6,0,10,5,15,6.885633911,7.182820092,0.2971861809999998,6.802926206,-0.3798938859999996,6.856304069,0.05337786299999969,6.963587768,0.1072836989999999,8
7,6,0,10,15,16,7.182820092,6.802926206,-0.3798938859999996,6.963587768,0.1606615619999996,7.28356523,0.31997746199999977,7.294355973,0.010790743000000269,8
7,6,0,10,25,17,6.802926206,6.963587768,0.1606615619999996,7.294355973,0.33076820500000004,7.277773691,-0.016582281999999893,7.327652118,0.04987842699999945,8
7,6,0,10,35,18,6.963587768,7.294355973,0.33076820500000004,7.327652118,0.033296144999999555,7.411935065,0.08428294700000016,7.559621824,0.14768675899999995,8
7,6,0,10,45,19,7.294355973,7.327652118,0.033296144999999555,7.559621824,0.2319697060000001,7.464144357,-0.09547746699999937,7.556335967,0.09219160999999954,8
7,6,0,10,55,20,7.327652118,7.559621824,0.2319697060000001,7.556335967,-0.0032858569999998366,7.531158925,-0.02517704200000015,7.451588318,-0.07957060699999996,8
7,6,0,11,5,21,7.559621824,7.556335967,-0.0032858569999998366,7.451588318,-0.10474764900000011,7.251552599,-0.20003571899999972,7.387311025,0.13575842599999977,8
7,6,0,11,15,22,7.556335967,7.451588318,-0.10474764900000011,7.387311025,-0.06427729299999996,7.534902212,0.14759118700000062,7.669462738,0.13456052599999957,8
7,6,0,11,25,23,7.451588318,7.387311025,-0.06427729299999996,7.669462738,0.2821517130000002,7.806347806,0.13688506799999978,7.633844064,-0.17250374199999996,8
7,6,0,11,35,24,7.387311025,7.669462738,0.2821517130000002,7.633844064,-0.03561867400000018,7.666925195,0.03308113100000032,7.520164584,-0.14676061100000037,8
7,6,0,11,45,25,7.669462738,7.633844064,-0.03561867400000018,7.520164584,-0.11367948000000005,7.501747391,-0.018417192999999443,7.767857531,0.26611013999999944,8
7,6,0,11,55,26,7.633844064,7.520164584,-0.11367948000000005,7.767857531,0.247692947,7.232609101,-0.5352484299999993,7.274338276,0.04172917499999951,8
7,6,0,12,5,27,7.520164584,7.767857531,0.247692947,7.274338276,-0.4935192549999998,7.408981176,0.13464290000000023,7.230742271,-0.17823890499999973,8
7,6,0,12,15,28,7.767857531,7.274338276,-0.4935192549999998,7.230742271,-0.043596004999999494,7.354167649,0.12342537799999942,7.107897687,-0.2462699619999995,8
7,6,0,12,25,29,7.274338276,7.230742271,-0.043596004999999494,7.107897687,-0.12284458400000009,7.295721127,0.18782343999999984,7.080999121,-0.21472200600000058,8
7,6,0,12,35,30,7.230742271,7.107897687,-0.12284458400000009,7.080999121,-0.026898566000000734,7.606453644,0.5254545230000005,7.642015997,0.03556235299999955,8
7,6,0,12,45,31,7.107897687,7.080999121,-0.026898566000000734,7.642015997,0.561016876,7.848884725,0.2068687279999999,7.724196995,-0.12468772999999977,8
7,6,0,12,55,32,7.080999121,7.642015997,0.561016876,7.724196995,0.08218099800000012,7.650962743,-0.07323425199999978,7.753904748,0.10294200500000006,8
7,6,0,13,5,33,7.642015997,7.724196995,0.08218099800000012,7.753904748,0.02970775300000028,7.744009419,-0.009895328999999897,7.336903262,-0.4071061570000003,8
7,6,0,13,15,34,7.724196995,7.753904748,0.02970775300000028,7.336903262,-0.4170014860000002,7.485654677,0.14875141500000044,7.513611244,0.027956566999999488,8
7,6,0,13,25,35,7.753904748,7.336903262,-0.4170014860000002,7.513611244,0.17670798199999993,7.644185813,0.1305745690000002,7.414962086,-0.22922372699999993,8
7,6,0,13,35,36,7.336903262,7.513611244,0.17670798199999993,7.414962086,-0.09864915799999974,7.514644125,0.09968203900000017,7.445178236,-0.06946588899999995,8
7,6,0,13,45,37,7.513611244,7.414962086,-0.09864915799999974,7.445178236,0.03021615000000022,7.294385873,-0.15079236299999987,7.233354647,-0.06103122600000077,8
7,6,0,13,55,38,7.414962086,7.445178236,0.03021615000000022,7.233354647,-0.21182358900000064,7.332941859,0.09958721200000031,7.513492139,0.18055028000000028,9
7,6,0,14,5,39,7.445178236,7.233354647,-0.21182358900000064,7.513492139,0.2801374920000006,7.528727688,0.015235548999999793,8.536272286,1.0075445980000008,9
7,6,0,14,15,40,7.233354647,7.513492139,0.2801374920000006,8.536272286,1.0227801470000006,7.724842582,-0.8114297040000009,7.599001549,-0.12584103300000038,8
7,6,0,14,25,41,7.513492139,8.536272286,1.0227801470000006,7.599001549,-0.9372707370000013,7.348468015,-0.25053353399999967,7.3263272,-0.022140815000000202,8
7,6,0,14,35,42,8.536272286,7.599001549,-0.9372707370000013,7.3263272,-0.27267434899999987,7.63950667,0.31317947000000057,7.802449354,0.1629426839999999,8
7,6,0,14,45,43,7.599001549,7.3263272,-0.27267434899999987,7.802449354,0.47612215400000046,7.485672218,-0.3167771359999998,7.354957743,-0.13071447500000044,8
7,6,0,14,55,44,7.3263272,7.802449354,0.47612215400000046,7.354957743,-0.44749161100000023,7.497015314,0.1420575710000005,7.235630142,-0.26138517200000067,8
7,6,0,15,5,45,7.802449354,7.354957743,-0.44749161100000023,7.235630142,-0.11932760100000017,7.434386233,0.1987560909999999,7.519403839,0.08501760600000008,8
7,6,0,15,15,46,7.354957743,7.235630142,-0.11932760100000017,7.519403839,0.283773697,7.403087775,-0.11631606399999939,7.366791574,-0.03629620100000075,8
7,6,0,15,25,47,7.235630142,7.519403839,0.283773697,7.366791574,-0.15261226500000014,7.577678754,0.21088718000000028,7.32668721,-0.2509915439999997,8
7,6,0,15,35,48,7.519403839,7.366791574,-0.15261226500000014,7.32668721,-0.04010436399999939,7.259778835,-0.06690837500000058,7.499146875,0.23936804000000045,8
7,6,0,15,45,49,7.366791574,7.32668721,-0.04010436399999939,7.499146875,0.17245966499999987,7.53074579,0.031598915000000005,7.054149566,-0.4765962239999997,8
7,6,0,15,55,50,7.32668721,7.499146875,0.17245966499999987,7.054149566,-0.4449973089999997,7.134469847,0.08032028099999966,7.081949563,-0.05252028399999986,8
7,6,0,16,5,51,7.499146875,7.054149566,-0.4449973089999997,7.081949563,0.0277999969999998,6.953665837,-0.12828372600000026,7.023590624,0.06992478699999971,8
7,6,0,16,15,52,7.054149566,7.081949563,0.0277999969999998,7.023590624,-0.058358939000000554,6.759900139,-0.2636904849999997,6.530131152,-0.22976898699999992,7
7,6,0,16,25,53,7.081949563,7.023590624,-0.058358939000000554,6.530131152,-0.4934594719999996,6.447105457,-0.0830256949999999,6.330514608,-0.1165908490000005,7
7,6,0,16,35,54,7.023590624,6.530131152,-0.4934594719999996,6.330514608,-0.1996165440000004,6.331684427,0.0011698190000002384,6.223271197,-0.10841323000000003,7
7,6,0,16,45,55,6.530131152,6.330514608,-0.1996165440000004,6.223271197,-0.10724341099999979,6.202872405,-0.020398791999999943,5.914776765,-0.2880956399999999,6
7,6,0,16,55,56,6.330514608,6.223271197,-0.10724341099999979,5.914776765,-0.3084944319999998,5.917454777,0.002678011999999619,5.921237644,0.0037828669999999676,6
7,6,0,17,5,57,6.223271197,5.914776765,-0.3084944319999998,5.921237644,0.006460878999999586,5.640499083,-0.2807385609999997,5.391187185,-0.2493118980000002,6
7,6,0,17,15,58,5.914776765,5.921237644,0.006460878999999586,5.391187185,-0.5300504589999999,5.349731374,-0.04145581099999962,5.306831763,-0.04289961100000017,6
7,6,0,17,25,59,5.921237644,5.391187185,-0.5300504589999999,5.306831763,-0.08435542199999979,4.924258813,-0.38257295000000013,4.870140499,-0.05411831400000011,6
